X,Y,Z_Value,Depth_m
0,0,62,0.5
0,1,78,1.0
0,2,55,1.5
0,3,91,2.0
0,4,67,2.5
0,5,73,3.0
0,6,85,3.5
0,7,59,4.0
0,8,64,4.5
0,9,70,5.0
1,0,81,0.5
1,1,95,1.0
1,2,120,1.5
1,3,185,2.0
1,4,210,2.5
1,5,165,3.0
1,6,110,3.5
1,7,88,4.0
1,8,72,4.5
1,9,66,5.0
2,0,58,0.5
2,1,130,1.0
2,2,280,1.5
2,3,420,2.0
2,4,510,2.5
2,5,390,3.0
2,6,245,3.5
2,7,140,4.0
2,8,92,4.5
2,9,75,5.0
3,0,87,0.5
3,1,175,1.0
3,2,410,1.5
3,3,720,2.0
3,4,880,2.5
3,5,690,3.0
3,6,380,3.5
3,7,190,4.0
3,8,105,4.5
3,9,82,5.0
4,0,69,0.5
4,1,200,1.0
4,2,480,1.5
4,3,850,2.0
4,4,1000,2.5
4,5,820,3.0
4,6,450,3.5
4,7,215,4.0
4,8,115,4.5
4,9,78,5.0
5,0,74,0.5
5,1,180,1.0
5,2,395,1.5
5,3,670,2.0
5,4,810,2.5
5,5,950,3.0
5,6,620,3.5
5,7,350,4.0
5,8,160,4.5
5,9,85,5.0
6,0,63,0.5
6,1,125,1.0
6,2,260,1.5
6,3,380,2.0
6,4,470,2.5
6,5,590,3.0
6,6,730,3.5
6,7,540,4.0
6,8,290,4.5
6,9,135,5.0
7,0,80,0.5
7,1,98,1.0
7,2,155,1.5
7,3,230,2.0
7,4,310,2.5
7,5,370,3.0
7,6,490,3.5
7,7,410,4.0
7,8,220,4.5
7,9,110,5.0
8,0,57,0.5
8,1,75,1.0
8,2,105,1.5
8,3,145,2.0
8,4,190,2.5
8,5,225,3.0
8,6,280,3.5
8,7,195,4.0
8,8,130,4.5
8,9,88,5.0
9,0,68,0.5
9,1,82,1.0
9,2,71,1.5
9,3,95,2.0
9,4,110,2.5
9,5,135,3.0
9,6,150,3.5
9,7,120,4.0
9,8,90,4.5
9,9,76,5.0
